sample_id,class_name,col_index,cover_area,crop_type,grid_id,label,pos_prop,region,row_index,samples,x,y,year,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14
52,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.3544094660927,30.77255362550571,2021,0.6105467,0.21439017,0.115848005,0.20357142,0.72524405,0.832718555,0.94019306,0.8712515,0.9052056,0.8820276,0.69072163,0.37785292,0.22076707,0.18399304
53,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.37956229404804,30.73509387815793,2021,0.55765593,0.43009037,0.36648905,0.5819281,0.6745562,0.769363,0.8641698,0.84164685,0.86277604,0.87789714,0.78949505,0.68148917,0.52255225,0.23768997
54,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.30383431559677,30.55641896814656,2021,0.76037735,0.23047002,0.1366425,0.24193548,0.4276923,0.62716785,0.8266434,0.83696204,0.8372214,0.8503521,0.63280755,0.26458615,0.17748344,0.16080777
55,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.20663660185504,30.537644178708454,2021,0.5319962,0.20696084,0.19415808,0.13984962,0.29930395,0.5318949550000001,0.76448596,0.8775301,0.89976037,0.91353995,0.81876576,0.33911034,0.1590149,0.10288582
56,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.02697354503113,30.52587624848649,2021,0.5463289,0.21304873,0.1438849,0.1990232,0.2487709,0.284,0.73208255,0.8834499,0.88408643,0.8996139,0.8192155,0.39431205,0.23306233,0.21613237
57,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.2342148810775,30.71631908871983,2021,0.2319668,0.1433121,0.23753436,0.53367877,0.7229081,0.82255195,0.9221958,0.86558807,0.89870864,0.86771417,0.65342546,0.38333333,0.2172721,0.206734
58,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.2055586235141,30.581751459158724,2021,0.53382164,0.19320153,0.1559633,0.19476745,0.54579055,0.7114868249999999,0.8771831,0.89904267,0.89826405,0.9095563,0.7527291,0.37573004,0.17445688,0.11760409
59,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.28173575960743,30.664935454468196,2021,0.83412457,0.3045923,0.22704339,0.23243243,0.48069242,0.5184615,0.7899189,0.7649338,0.810295,0.83415234,0.6300064,0.33132756,0.2169697,0.103831895
60,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.20268401460491,30.670055851587676,2021,0.81688523,0.29859033,0.28042328,0.2877637,0.5826087,0.7511968,0.9197849,0.9022256,0.89964026,0.8987699,0.6133805,0.41987532,0.2299721,0.19608715
61,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.3776758319514,30.66295916084313,2021,0.80679786,0.24961714,0.15068494,0.296,0.49054727,0.7068915849999999,0.9232359,0.86042196,0.8921019,0.88821,0.7700472,0.40222773,0.16358463,0.11840796
62,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.33347871997272,30.70401216932739,2021,0.71303874,0.29301184,0.15261959,0.19594595,0.4827586,0.698357,0.9139554,0.87668115,0.90601134,0.90275025,0.53539664,0.3767228,0.22100656,0.11683417
63,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.30616993533548,30.59333972632387,2021,0.61283803,0.2777778,0.2159533,0.21779001,0.48659003,0.6540429649999999,0.8214959,0.82983196,0.8302375,0.8817853,0.6696165,0.37406653,0.21906428,0.17291066
64,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.32503455630199,30.619570532620155,2021,0.57120085,0.22988917,0.13590604,0.18256131,0.31131297,0.56164512,0.81197727,0.89304566,0.86563426,0.8692655,0.67333335,0.39130434,0.22204724,0.28253424
65,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.30625976686389,30.60915007532437,2021,0.25152934,0.30388692,0.6319427,0.73124486,0.6149003,0.6597759999999999,0.7046517,0.6223176,0.71308726,0.78673804,0.6595186,0.35241857,0.35349044,0.20928116
66,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.15273768480786,30.571600496448173,2021,0.4114713,0.10383889,0.5048077,0.48495576,0.6165609733333334,0.7481661866666667,0.8797714,0.8768178,0.87182796,0.860774,0.6977099,0.25432098,0.20198376,0.114245415
67,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.16468527808665,30.5266847322422,2021,0.66546977,0.2840544,0.09881423,0.13521545,0.30884236,0.57689196,0.84494156,0.8917569,0.8906047,0.9070561,0.7794844,0.28208387,0.13855422,0.1208106
68,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.33509568748413,30.61831289122239,2021,0.21900062,0.10372771,0.16051503,0.46438983,0.36524454,0.6146511,0.86405766,0.8713886,0.90024495,0.8867553,0.694018,0.32124352,0.17993687,0.14663726
69,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.21175699897452,30.5898362967158,2021,0.62828696,0.1956044,0.1382716,0.25250277,0.5790441,0.72776553,0.87648696,0.87880254,0.9,0.891769,0.73957795,0.32860824,0.17580871,0.107586205
70,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.32126163210869,30.828339004649536,2021,0.8486978,0.8498602,0.20236471,0.13598798,0.36621684,0.65561912,0.9450214,0.847362,0.89772725,0.8718331,0.65406007,0.34618473,0.21222268,0.18530226
71,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.37749616889457,30.585524383352027,2021,0.80581415,0.4499089,0.24707413,0.14871795,0.27084988,0.57811499,0.8853801,0.90267825,0.91565204,0.9189979,0.76876515,0.2911854,0.18368712,0.12920527
72,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.25640326859526,30.69745446775332,2021,0.25363418,0.13821138,0.17388494,0.49808723,0.76078314,0.8522332699999999,0.9436834,0.87712705,0.9163005,0.87923026,0.93457943,0.3722826,0.20877267,0.19346733
73,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.26906951410135,30.653706513416697,2021,0.4001077,0.1729798,0.099710986,0.25110132,0.6227642,0.7746192000000001,0.9264742,0.8808687,0.90660286,0.9035658,0.9111111,0.42875078,0.21753116,0.111929305
74,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.19397035634896,30.627745201705643,2021,0.5086042,0.13531353,0.12586872,0.17282127,0.43396226,0.395263,0.8304662,0.7911449,0.6615385,0.7530454,0.6273429,0.3338912,0.28324187,0.6189009
75,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.25272017593036,30.68963912478148,2021,0.46666667,0.170117,0.36463362,0.5615257,0.7800106,0.855178365,0.93034613,0.8605732,0.8986499,0.883905,0.99900943,0.49794802,0.44940343,0.42043984
76,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.36204514600772,30.520127030668124,2021,0.80375427,0.44866386,0.23472668,0.14556962,0.46530315,0.59576076,0.8957346,0.92236346,0.9151778,0.9334889,0.76898295,0.45548055,0.17707333,0.22359397
77,wheat,0,0.254,wheat,4,1,0.821079234137405,Punjab,3,134,74.13908329248925,30.5477053098906,2021,0.8537037,0.43364796,0.09940527,0.18210198,0.2798354,0.5605338200000001,0.84123224,0.87147415,0.8772898,0.89636606,0.76821727,0.45033112,0.165234,0.13239875
